index	initial_lddt	final_lddt	ideal_lddt
11000	tensor(0.4290)	tensor(0.4290)	tensor(0.5467)
11040	tensor(0.3816)	tensor(0.3816)	tensor(0.5131)
11080	tensor(0.4941)	tensor(0.4941)	tensor(0.5720)
11120	tensor(0.4034)	tensor(0.4034)	tensor(0.5064)
11160	tensor(0.4738)	tensor(0.4738)	tensor(0.5844)
11200	tensor(0.3994)	tensor(0.3994)	tensor(0.5384)
11240	tensor(0.3180)	tensor(0.4312)	tensor(0.4143)
11280	tensor(0.4396)	tensor(0.4396)	tensor(0.5672)
11320	tensor(0.4447)	tensor(0.4447)	tensor(0.5669)
11360	tensor(0.4179)	tensor(0.4179)	tensor(0.5515)
11400	tensor(0.3061)	tensor(0.3061)	tensor(0.4468)
11440	tensor(0.4799)	tensor(0.4799)	tensor(0.6130)
11480	tensor(0.3806)	tensor(0.3806)	tensor(0.5093)
11520	tensor(0.4955)	tensor(0.4955)	tensor(0.6209)
11560	tensor(0.3917)	tensor(0.3917)	tensor(0.5116)
11600	tensor(0.5377)	tensor(0.5377)	tensor(0.6369)
11640	tensor(0.4989)	tensor(0.4989)	tensor(0.6303)
11680	tensor(0.4589)	tensor(0.4589)	tensor(0.5625)
11720	tensor(0.3897)	tensor(0.3897)	tensor(0.5182)
11760	tensor(0.3876)	tensor(0.3876)	tensor(0.5431)
11800	tensor(0.3935)	tensor(0.3935)	tensor(0.4855)
11840	tensor(0.3968)	tensor(0.3968)	tensor(0.5143)
11880	tensor(0.4801)	tensor(0.4801)	tensor(0.5857)
11920	tensor(0.4617)	tensor(0.4617)	tensor(0.5894)
11960	tensor(0.4363)	tensor(0.4363)	tensor(0.5751)
12000	tensor(0.3923)	tensor(0.3923)	tensor(0.4895)
12040	tensor(0.3817)	tensor(0.4938)	tensor(0.4900)
12080	tensor(0.3467)	tensor(0.4623)	tensor(0.4772)
12120	tensor(0.5352)	tensor(0.5352)	tensor(0.6652)
12160	tensor(0.3356)	tensor(0.3356)	tensor(0.4441)
12200	tensor(0.4089)	tensor(0.4089)	tensor(0.5094)
12240	tensor(0.5014)	tensor(0.5014)	tensor(0.5968)
12280	tensor(0.3792)	tensor(0.3792)	tensor(0.4949)
12320	tensor(0.4459)	tensor(0.5302)	tensor(0.5476)
12360	tensor(0.3563)	tensor(0.3563)	tensor(0.4683)
12400	tensor(0.4662)	tensor(0.4662)	tensor(0.5786)
12440	tensor(0.4848)	tensor(0.4848)	tensor(0.6029)
12480	tensor(0.5096)	tensor(0.5096)	tensor(0.6408)
12520	tensor(0.5360)	tensor(0.5360)	tensor(0.6481)
12560	tensor(0.4791)	tensor(0.6055)	tensor(0.6024)
12600	tensor(0.5023)	tensor(0.5023)	tensor(0.6117)
12640	tensor(0.4111)	tensor(0.4111)	tensor(0.5447)
12680	tensor(0.3586)	tensor(0.3586)	tensor(0.4874)
12720	tensor(0.2797)	tensor(0.2797)	tensor(0.4199)
12760	tensor(0.3693)	tensor(0.3693)	tensor(0.4858)
12800	tensor(0.4085)	tensor(0.4085)	tensor(0.5526)
12840	tensor(0.4079)	tensor(0.4079)	tensor(0.5297)
12880	tensor(0.3731)	tensor(0.3731)	tensor(0.4908)
12920	tensor(0.4351)	tensor(0.4351)	tensor(0.5468)
12960	tensor(0.4272)	tensor(0.4272)	tensor(0.5895)
13000	tensor(0.4357)	tensor(0.4357)	tensor(0.5704)
13040	tensor(0.4370)	tensor(0.4370)	tensor(0.5466)
13080	tensor(0.3986)	tensor(0.3986)	tensor(0.5140)
13120	tensor(0.4486)	tensor(0.4486)	tensor(0.5937)
13160	tensor(0.4373)	tensor(0.4373)	tensor(0.5530)
13200	tensor(0.4528)	tensor(0.5469)	tensor(0.5998)
13240	tensor(0.4543)	tensor(0.4543)	tensor(0.5500)
13280	tensor(0.3802)	tensor(0.3802)	tensor(0.5054)
13320	tensor(0.4435)	tensor(0.5734)	tensor(0.6054)
13360	tensor(0.4645)	tensor(0.4645)	tensor(0.5814)
13400	tensor(0.3166)	tensor(0.4826)	tensor(0.4445)
13440	tensor(0.4367)	tensor(0.5200)	tensor(0.5760)
13480	tensor(0.4355)	tensor(0.4355)	tensor(0.5277)
13520	tensor(0.4430)	tensor(0.4430)	tensor(0.5310)
13560	tensor(0.2967)	tensor(0.2967)	tensor(0.4045)
13600	tensor(0.5290)	tensor(0.5290)	tensor(0.6521)
13640	tensor(0.4301)	tensor(0.4301)	tensor(0.5716)
13680	tensor(0.4913)	tensor(0.4913)	tensor(0.6188)
13720	tensor(0.2838)	tensor(0.2838)	tensor(0.4093)
13760	tensor(0.3448)	tensor(0.4677)	tensor(0.4773)
13800	tensor(0.3835)	tensor(0.3835)	tensor(0.5189)
13840	tensor(0.3725)	tensor(0.3725)	tensor(0.5042)
13880	tensor(0.2816)	tensor(0.4443)	tensor(0.4048)
13920	tensor(0.3550)	tensor(0.3550)	tensor(0.5048)
13960	tensor(0.3713)	tensor(0.3713)	tensor(0.5020)
14000	tensor(0.4109)	tensor(0.4109)	tensor(0.5455)
14040	tensor(0.4624)	tensor(0.4624)	tensor(0.5851)
14080	tensor(0.4498)	tensor(0.4498)	tensor(0.5719)
14120	tensor(0.3707)	tensor(0.3707)	tensor(0.4938)
14160	tensor(0.4421)	tensor(0.4421)	tensor(0.5700)
14200	tensor(0.4408)	tensor(0.4408)	tensor(0.5631)
14240	tensor(0.3557)	tensor(0.3557)	tensor(0.4728)
14280	tensor(0.3827)	tensor(0.3827)	tensor(0.4818)
14320	tensor(0.4656)	tensor(0.4656)	tensor(0.5805)
14360	tensor(0.4393)	tensor(0.4393)	tensor(0.5528)
14400	tensor(0.3896)	tensor(0.3896)	tensor(0.5027)
14440	tensor(0.4657)	tensor(0.4657)	tensor(0.5663)
14480	tensor(0.3704)	tensor(0.3704)	tensor(0.5066)
14520	tensor(0.4433)	tensor(0.4433)	tensor(0.5652)
14560	tensor(0.4346)	tensor(0.4346)	tensor(0.5441)
14600	tensor(0.3963)	tensor(0.5296)	tensor(0.5190)
14640	tensor(0.4186)	tensor(0.4186)	tensor(0.5589)
14680	tensor(0.4564)	tensor(0.5377)	tensor(0.5681)
14720	tensor(0.4449)	tensor(0.4449)	tensor(0.5995)
14760	tensor(0.3630)	tensor(0.3630)	tensor(0.4822)
14800	tensor(0.4675)	tensor(0.4675)	tensor(0.5985)
14840	tensor(0.4300)	tensor(0.4300)	tensor(0.5491)
14880	tensor(0.3743)	tensor(0.3743)	tensor(0.4942)
14920	tensor(0.4500)	tensor(0.4500)	tensor(0.5654)
14960	tensor(0.4085)	tensor(0.5016)	tensor(0.5587)
15000	tensor(0.4540)	tensor(0.4540)	tensor(0.5879)
15040	tensor(0.4517)	tensor(0.5275)	tensor(0.5715)
15080	tensor(0.3633)	tensor(0.3633)	tensor(0.4707)
15120	tensor(0.4596)	tensor(0.4596)	tensor(0.5958)
15160	tensor(0.3681)	tensor(0.4800)	tensor(0.4802)
15200	tensor(0.4553)	tensor(0.4553)	tensor(0.5918)
15240	tensor(0.3718)	tensor(0.3718)	tensor(0.5102)
15280	tensor(0.4394)	tensor(0.4394)	tensor(0.5580)
15320	tensor(0.3321)	tensor(0.3321)	tensor(0.4569)
15360	tensor(0.3845)	tensor(0.3845)	tensor(0.4955)
15400	tensor(0.4353)	tensor(0.4353)	tensor(0.5488)
15440	tensor(0.3716)	tensor(0.3716)	tensor(0.5179)
15480	tensor(0.3548)	tensor(0.3548)	tensor(0.4893)
15520	tensor(0.3649)	tensor(0.3649)	tensor(0.5007)
15560	tensor(0.4302)	tensor(0.4302)	tensor(0.5544)
15600	tensor(0.4630)	tensor(0.4630)	tensor(0.6086)
15640	tensor(0.4350)	tensor(0.4350)	tensor(0.5816)
15680	tensor(0.3461)	tensor(0.3461)	tensor(0.4626)
15720	tensor(0.4033)	tensor(0.4033)	tensor(0.5421)
15760	tensor(0.3803)	tensor(0.3803)	tensor(0.5051)
15800	tensor(0.3569)	tensor(0.3569)	tensor(0.5091)
